N_new_neg,N_new_pos,N_orig_neg,N_orig_pos,Search,method,w,w_new_neg,w_new_pos,w_orig_neg,w_orig_pos
246.0,244.0,506,506,fish_antarctic,4.0,0.7,2.1483739837398375,1.0,0.44499017681728886,1.0
246.0,244.0,506,506,fish_antarctic,4.0,0.8,2.4552845528455283,1.0,0.29666011787819246,1.0
246.0,244.0,506,506,fish_antarctic,4.0,0.9,2.7621951219512195,1.0,0.14833005893909623,1.0
246.0,244.0,506,506,fish_antarctic,4.0,1.0,3.069105691056911,1.0,0.0,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.0,0.0,1.0,1.506876227897839,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.1,0.29728682170542636,1.0,1.3561886051080552,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.2,0.5945736434108527,1.0,1.2055009823182712,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.3,0.891860465116279,1.0,1.0548133595284872,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.4,1.1891472868217055,1.0,0.9041257367387033,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.5,1.4864341085271318,1.0,0.7534381139489195,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.6,1.783720930232558,1.0,0.6027504911591356,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.7,2.0810077519379844,1.0,0.4520628683693517,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.8,2.378294573643411,1.0,0.30137524557956774,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,0.9,2.6755813953488374,1.0,0.15068762278978387,1.0
258.0,245.0,506,506,mammal_neotropic,4.0,1.0,2.9728682170542635,1.0,0.0,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.0,0.0,1.0,1.5088408644400786,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.1,0.29652509652509657,1.0,1.3579567779960708,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.2,0.5930501930501931,1.0,1.207072691552063,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.3,0.8895752895752895,1.0,1.056188605108055,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.4,1.1861003861003863,1.0,0.905304518664047,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.5,1.4826254826254825,1.0,0.7544204322200393,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.6,1.779150579150579,1.0,0.6035363457760315,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.7,2.0756756756756753,1.0,0.45265225933202363,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.8,2.3722007722007725,1.0,0.30176817288801566,1.0
259.0,241.0,506,506,fish_australasia,4.0,0.9,2.668725868725869,1.0,0.15088408644400783,1.0
259.0,241.0,506,506,fish_australasia,4.0,1.0,2.965250965250965,1.0,0.0,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.0,0.0,1.0,1.506876227897839,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.1,0.29728682170542636,1.0,1.3561886051080552,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.2,0.5945736434108527,1.0,1.2055009823182712,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.3,0.891860465116279,1.0,1.0548133595284872,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.4,1.1891472868217055,1.0,0.9041257367387033,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.5,1.4864341085271318,1.0,0.7534381139489195,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.6,1.783720930232558,1.0,0.6027504911591356,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.7,2.0810077519379844,1.0,0.4520628683693517,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.8,2.378294573643411,1.0,0.30137524557956774,1.0
258.0,236.0,506,506,bird_australasia,4.0,0.9,2.6755813953488374,1.0,0.15068762278978387,1.0
258.0,236.0,506,506,bird_australasia,4.0,1.0,2.9728682170542635,1.0,0.0,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.0,0.0,1.0,1.5088408644400786,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.1,0.29652509652509657,1.0,1.3579567779960708,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.2,0.5930501930501931,1.0,1.207072691552063,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.3,0.8895752895752895,1.0,1.056188605108055,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.4,1.1861003861003863,1.0,0.905304518664047,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.5,1.4826254826254825,1.0,0.7544204322200393,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.6,1.779150579150579,1.0,0.6035363457760315,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.7,2.0756756756756753,1.0,0.45265225933202363,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.8,2.3722007722007725,1.0,0.30176817288801566,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,0.9,2.668725868725869,1.0,0.15088408644400783,1.0
259.0,248.0,506,506,mammal_antarctic,4.0,1.0,2.965250965250965,1.0,0.0,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.0,0.0,1.0,1.4950884086444007,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.1,0.301984126984127,1.0,1.3455795677799607,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.2,0.603968253968254,1.0,1.1960707269155209,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.3,0.9059523809523808,1.0,1.0465618860510804,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.4,1.207936507936508,1.0,0.8970530451866404,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.5,1.5099206349206349,1.0,0.7475442043222004,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.6,1.8119047619047617,1.0,0.5980353634577604,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.7,2.1138888888888885,1.0,0.4485265225933203,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.8,2.415873015873016,1.0,0.2990176817288801,1.0
252.0,247.0,506,506,fish_neotropic,4.0,0.9,2.717857142857143,1.0,0.14950884086444005,1.0
